Nombre;Codigo;Clase
glycerol-3-phosphate dehydrogenase [EC:1.1.5.3];EC:1.1.5.3;Oxidoreductases
phosphatidate cytidylyltransferase [EC:2.7.7.41];EC:2.7.7.41;Transferases
CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5];EC:2.7.8.5;Transferases
phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71];EC:2.1.1.17 2.1.1.71;Transferases
phosphatidylserine decarboxylase [EC:4.1.1.65];EC:4.1.1.65;Lyases
glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46];EC:3.1.4.46;Hydrolases
lysophospholipase I [EC:3.1.1.5];EC:3.1.1.5;Hydrolases
phosphatidate phosphatase [EC:3.1.3.4];EC:3.1.3.4;Hydrolases
microsomal prostaglandin-E synthase 2 [EC:5.3.99.3];EC:5.3.99.3;Isomerases
9,11-endoperoxide prostaglandin H2 reductase [EC:1.1.1.-];EC:1.1.1.-;No informacion
serine palmitoyltransferase [EC:2.3.1.50];EC:2.3.1.50;Transferases
3-dehydrosphinganine reductase [EC:1.1.1.102];EC:1.1.1.102;Oxidoreductases
sphingolipid 4-desaturase/C4-monooxygenase [EC:1.14.19.17 1.14.18.5];EC:1.14.19.17 1.14.18.5;Oxidoreductases
sphinganine-1-phosphate aldolase [EC:4.1.2.27];EC:4.1.2.27;Lyases
shingomyelin synthase [EC:2.7.8.27];EC:2.7.8.27;Transferases
lactoylglutathione lyase [EC:4.4.1.5];EC:4.4.1.5;Lyases
hydroxyacylglutathione hydrolase [EC:3.1.2.6];EC:3.1.2.6;Hydrolases
D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4];EC:1.1.2.4;Oxidoreductases
acylphosphatase [EC:3.6.1.7];EC:3.6.1.7;Hydrolases
acetyl-CoA carboxylase / biotin carboxylase 1 [EC:6.4.1.2 6.3.4.14 2.1.3.15];EC:6.4.1.2 6.3.4.14 2.1.3.15;Ligases
malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38];EC:1.1.1.38;Oxidoreductases
pyruvate, orthophosphate dikinase [EC:2.7.9.1];EC:2.7.9.1;Transferases
3-oxoacid CoA-transferase [EC:2.8.3.5];EC:2.8.3.5;Transferases
methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20];EC:1.5.1.20;Oxidoreductases
methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3];EC:1.5.1.5 3.5.4.9 6.3.4.3;Oxidoreductases
methionyl-tRNA formyltransferase [EC:2.1.2.9];EC:2.1.2.9;Transferases
riboflavin kinase [EC:2.7.1.26];EC:2.7.1.26;Transferases
FAD synthetase [EC:2.7.7.2];EC:2.7.7.2;Transferases
NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1];EC:6.3.5.1;Ligases
NAD+ kinase [EC:2.7.1.23];EC:2.7.1.23;Transferases
nicotinamide mononucleotide adenylyltransferase [EC:2.7.7.1 2.7.7.18];EC:2.7.7.1 2.7.7.18;Transferases
nicotinate phosphoribosyltransferase [EC:6.3.4.21];EC:6.3.4.21;Ligases
NAD+-dependent protein deacetylase SIR2 [EC:2.3.1.286];EC:2.3.1.286;Transferases
phosphopantothenoylcysteine decarboxylase [EC:4.1.1.36];EC:4.1.1.36;Lyases
type II pantothenate kinase [EC:2.7.1.33];EC:2.7.1.33;Transferases
4'-phosphopantetheinyl transferase [EC:2.7.8.-];EC:2.7.8.-;No informacion
dephospho-CoA kinase [EC:2.7.1.24];EC:2.7.1.24;Transferases
lipoyl(octanoyl) transferase [EC:2.3.1.181];EC:2.3.1.181;Transferases
lipoyl synthase [EC:2.8.1.8];EC:2.8.1.8;Transferases
lipoate---protein ligase [EC:6.3.1.20];EC:6.3.1.20;Ligases
folylpolyglutamate synthase [EC:6.3.2.17];EC:6.3.2.17;Ligases
dihydropteridine reductase [EC:1.5.1.34];EC:1.5.1.34;Oxidoreductases
4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96];EC:4.2.1.96;Lyases
heme o synthase [EC:2.5.1.141];EC:2.5.1.141;Transferases
protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9];EC:4.99.1.1 4.99.1.9;Lyases
cytochrome c oxidase assembly protein subunit 15;5;No informacion
frataxin [EC:1.16.3.1];EC:1.16.3.1;Oxidoreductases
menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3];EC:1.3.5.3;Oxidoreductases
coproporphyrinogen III oxidase [EC:1.3.3.3];EC:1.3.3.3;Oxidoreductases
hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34];EC:1.1.1.34;Oxidoreductases
mevalonate kinase [EC:2.7.1.36];EC:2.7.1.36;Transferases
phosphomevalonate kinase [EC:2.7.4.2];EC:2.7.4.2;Transferases
diphosphomevalonate decarboxylase [EC:4.1.1.33];EC:4.1.1.33;Lyases
isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2];EC:5.3.3.2;Isomerases
farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10];EC:2.5.1.1 2.5.1.10;Transferases
protein farnesyltransferase subunit beta [EC:2.5.1.58];EC:2.5.1.58;Transferases
protein-S-isoprenylcysteine O-methyltransferase [EC:2.1.1.100];EC:2.1.1.100;Transferases
STE24 endopeptidase [EC:3.4.24.84];EC:3.4.24.84;Hydrolases
prenyl protein peptidase [EC:3.4.22.-];EC:3.4.22.-;No informacion
